"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"CPNE2",3710,"copine 2",-1.360083476,5.54e-24,-0.49072741,0.008593472
"CBL",3715,"Cbl proto-oncogene",0.606223395,2.03e-30,0.211548902,0.032041549
"CD2AP",3720,"CD2 associated protein",0.642666334,4.97e-31,0.241622831,0.036259064
"ICOSLG",3723,"inducible T cell costimulator ligand",-1.679755355,4.53e-21,-0.815739575,0.0039947
"PLIN2",3729,"perilipin 2",0.338990318,2.67e-09,0.735369364,1.92e-06
"ERBB2",3733,"erb-b2 receptor tyrosine kinase 2",-0.501187657,3.54e-26,-0.253099873,0.017209785
"SLC8A1",3744,"solute carrier family 8 member A1",-0.259934577,0.000416601,-1.123119647,1.79e-11
"NISCH",3759,"nischarin",-0.538872679,4.43e-13,-0.836691611,0.000115049
"PJA2",3765,"praja ring finger ubiquitin ligase 2",-0.179642547,1.54e-05,-0.411591493,4.12e-09
"TBC1D10B",3772,"TBC1 domain family member 10B",-0.258539217,2.25e-08,-0.552004058,1.02e-06
"SPRED1",3773,"sprouty related EVH1 domain containing 1",0.279419807,4.21e-07,0.6540397,1.26e-07
"BRAF",3774,"B-Raf proto-oncogene, serine/threonine kinase",0.637350347,1.27e-14,0.486772327,0.000318982
"PPP3CA",3776,"protein phosphatase 3 catalytic subunit alpha",-0.246709582,0.003705971,-0.584106923,3.28e-13
"CFL1",3781,"cofilin 1",-0.939129331,1.96e-12,-0.441267372,9.6e-05
"EFNB1",3793,"ephrin B1",-0.751247467,1.94e-06,-0.592379157,5.69e-08
"GBA2",3794,"glucosylceramidase beta 2",0.443111232,2.02e-09,0.821872667,6.59e-06
"PSMD10",3795,"proteasome 26S subunit, non-ATPase 10",-0.732178296,4.04e-10,-0.416621754,1.55e-05
"SRPX2",3796,"sushi repeat containing protein X-linked 2",-0.62372407,0.004808394,-1.272847626,3.67e-13
"EEPD1",3798,"endonuclease/exonuclease/phosphatase family domain containing 1",-0.51555087,0.049233718,-2.253871523,6.72e-16
"TLCD1",3811,"TLC domain containing 1",0.56963334,0.018805885,1.440844316,3.39e-14
"PLCD3",3812,"phospholipase C delta 3",-0.848487343,2.68e-16,-0.46466792,0.001149765
"SLC4A1AP",3813,"solute carrier family 4 member 1 adaptor protein",0.672226718,7.9e-20,0.186537997,0.005903209
"DGKQ",3816,"diacylglycerol kinase theta",0.89507658,1.85e-13,0.901909043,0.000276068
"AJM1",3818,"apical junction component 1 homolog",-0.867682388,2.33e-13,-1.157631856,0.000260471
"BMPR1A",3820,"bone morphogenetic protein receptor type 1A",-0.580235724,1.06e-16,-0.422707784,0.001665113
"ADGRE2",3823,"adhesion G protein-coupled receptor E2",0.773857931,0.020685681,1.217965453,4.27e-14
"PNISR",3827,"PNN interacting serine and arginine rich protein",0.439110767,4.12e-14,0.557014044,0.000457256
"RGS20",3830,"regulator of G protein signaling 20",1.004410842,2.1e-09,1.754778136,1.35e-05
"GPC4",3833,"glypican 4",-1.083790742,1.18e-21,-0.800234054,0.012228297
"ADGRB2",3834,"adhesion G protein-coupled receptor B2",-0.344408729,3.26e-05,-1.62801659,1.09e-08
"ARF1",3848,"ADP ribosylation factor 1",0.35396505,1.04e-05,0.765964777,5.65e-08
"SRA1",3854,"steroid receptor RNA activator 1",0.515830797,7.31e-14,0.437558999,0.000542289
"ASAH2",3857,"N-acylsphingosine amidohydrolase 2",0.937541448,1.95e-06,1.066656543,2.54e-07
"DRAM2",3859,"DNA damage regulated autophagy modulator 2",-0.468162031,5.84e-07,-0.526381397,6.92e-07
"EXOC7",3870,"exocyst complex component 7",0.287120747,6.08e-10,0.249117763,4.28e-05
"SIRT2",3882,"sirtuin 2",-1.068390812,2.07e-07,-1.204890514,2.18e-06
"RANGRF",3885,"RAN guanine nucleotide release factor",0.449534267,0.001254191,0.7432451,2.34e-10
"HIC2",3886,"HIC ZBTB transcriptional repressor 2",0.711790869,6.68e-09,0.571577219,1.49e-05
"RGS9",3892,"regulator of G protein signaling 9",-1.882797055,1.51e-08,-0.894244581,1.01e-05
"ITGA6",3900,"integrin subunit alpha 6",0.80854153,0.039798936,1.544064904,6.79e-14
"KANSL2",3901,"KAT8 regulatory NSL complex subunit 2",0.239433323,2.25e-05,0.781861766,5.64e-08
"PGAP6",3902,"post-GPI attachment to proteins 6",0.542533964,1.6e-17,0.256971045,0.004913271
"PLA2G6",3906,"phospholipase A2 group VI",-0.892388815,9.7e-13,-1.321752709,0.000397927
"SYNC",3913,"syncoilin, intermediate filament protein",0.337859787,0.002912217,0.952564514,5.26e-11
"RIMS3",3923,"regulating synaptic membrane exocytosis 3",-0.399644807,0.010611292,-1.177322852,5.55e-12
"FRAS1",3924,"Fraser extracellular matrix complex subunit 1",0.385894034,2.81e-05,0.968597386,7.48e-08
"INPP5E",3926,"inositol polyphosphate-5-phosphatase E",0.506179458,1.11e-10,0.515563567,0.000138405
"RELT",3927,"RELT TNF receptor",0.430097666,0.002983198,0.838982174,7.76e-11
"SMPDL3B",3933,"sphingomyelin phosphodiesterase acid like 3B",1.188359157,8.58e-08,0.869888676,7.82e-06
"RAB5C",3935,"RAB5C, member RAS oncogene family",0.139594589,4.58e-05,0.503979617,4.65e-08
"CDK16",3941,"cyclin dependent kinase 16",-0.192576992,1.31e-08,-0.27756183,2.47e-05
"ACIN1",3942,"apoptotic chromatin condensation inducer 1",-0.401312632,2.47e-20,-0.861157869,0.016128827
"MMP15",3943,"matrix metallopeptidase 15",-0.93910827,3.11e-06,-0.843764556,6.84e-07
"ALG10B",3960,"ALG10 alpha-1,2-glucosyltransferase B",-0.729029991,2.05e-05,-1.034857675,1.97e-07
"LRFN3",3961,"leucine rich repeat and fibronectin type III domain containing 3",-0.668689858,9.03e-09,-0.492337705,3.8e-05
"MORF4L2",3962,"mortality factor 4 like 2",-0.319633184,1.36e-09,-0.196282223,8.65e-05
"ELAPOR2",3965,"endosome-lysosome associated apoptosis and autophagy regulator family member 2",-0.595910494,1.93e-11,-1.506184603,0.000349688
"ARHGEF4",3966,"Rho guanine nucleotide exchange factor 4",-1.498699955,6.19e-19,-0.86407618,0.012726994
"PCDHB8",3969,"protocadherin beta 8",-2.302412099,1.05e-09,-1.238702947,0.000101668
"SORL1",3970,"sortilin related receptor 1",-2.446463327,6.1e-21,-0.991163421,0.024466368
"WWP1",3983,"WW domain containing E3 ubiquitin protein ligase 1",-0.532635425,4.12e-11,-0.354655362,0.000318592
"TBC1D5",3984,"TBC1 domain family member 5",-0.569394416,2.92e-05,-0.894515999,1.97e-07
"PDAP1",3993,"PDGFA associated protein 1",0.301729804,3.19e-19,0.155145363,0.015471775
"CALM3",3996,"calmodulin 3",-0.318658925,0.031429998,-1.2862054,3.24e-12
"PDZD11",4002,"PDZ domain containing 11",-0.683872917,9.72e-15,-0.396975453,0.002845347
"LIN7C",4003,"lin-7 homolog C, crumbs cell polarity complex component",0.270908141,5.84e-07,0.480628963,5.8e-06
"ANXA1",4004,"annexin A1",1.069844466,5.27e-06,2.896375271,1.16e-06
"TSPAN31",4008,"tetraspanin 31",-0.925491454,1.92e-21,-0.106719544,0.03360738
"OPRD1",4009,"opioid receptor delta 1",-0.702152638,0.007033974,-1.501419862,1.37e-10
"LYPD6",4022,"LY6/PLAUR domain containing 6",-0.5326844,3.73e-06,-0.727515366,2.1e-06
"STRN3",4032,"striatin 3",-0.460144451,3.78e-09,-0.398528784,9.87e-05
"RAP2C",4039,"RAP2C, member of RAS oncogene family",0.283204675,0.001109762,0.518803051,5.94e-09
"L1CAM",4046,"L1 cell adhesion molecule",-0.657227528,2.94e-19,-0.214991366,0.022365972
"PRKAR1A",4047,"protein kinase cAMP-dependent type I regulatory subunit alpha",-0.459457541,4.89e-18,-0.16170612,0.015734264
"KHDRBS1",4052,"KH RNA binding domain containing, signal transduction associated 1",-0.802525874,2.68e-08,-0.917408633,5.41e-05
"MARCHF7",4056,"membrane associated ring-CH-type finger 7",0.299969764,4.4e-11,0.264178514,0.000568669
"TMEM219",4057,"transmembrane protein 219",0.290601003,0.000224081,0.87823769,7.49e-08
"PPP1CA",4062,"protein phosphatase 1 catalytic subunit alpha",-0.229901009,4.9e-10,-0.356478888,0.000315245
"DGKG",4063,"diacylglycerol kinase gamma",2.059079245,2.99e-14,1.855087205,0.004015124
"ICAM2",4066,"intercellular adhesion molecule 2",1.128879359,0.000309643,1.504241088,6.24e-08
"MELTF",4072,"melanotransferrin",-0.749816662,0.000145174,-1.210236676,1.84e-07
"MOSPD2",4073,"motile sperm domain containing 2",0.613369214,6.08e-18,0.319069419,0.020282676
"TRAPPC14",4076,"trafficking protein particle complex subunit 14",0.69487909,3.5e-05,1.006735174,8.31e-07
"TSPAN33",4077,"tetraspanin 33",-0.713700454,0.000652841,-1.958299856,3.6e-08
"PON2",4079,"paraoxonase 2",-0.429356555,1.99e-08,-0.411470361,9.85e-05
"CTSL",4082,"cathepsin L",0.462003385,0.004878892,2.318386213,1.61e-09
"RTN3",4083,"reticulon 3",-0.33248866,3.51e-13,-0.223413222,0.002635719
"SNX27",4085,"sorting nexin 27",-0.127783473,0.000194264,-0.589685541,1.64e-07
"STK26",4091,"serine/threonine kinase 26",-0.23134376,0.000975886,-0.615179006,2.61e-08
"GPR162",4094,"G protein-coupled receptor 162",-1.230095125,9.5e-06,-0.86622556,3.3e-06
"EFNA4",4096,"ephrin A4",-1.684124397,8.96e-07,-1.238206701,1.75e-05
"C1QTNF5",4101,"C1q and TNF related 5",-0.996515925,1.08e-07,-1.137496711,5.6e-05
"CD151",4105,"CD151 molecule (Raph blood group)",-0.247566146,1.26e-06,-0.361884689,1.61e-05
"RASSF2",4109,"Ras association domain family member 2",-0.479618136,0.002185514,-1.108984445,8.68e-09
"PLP2",4110,"proteolipid protein 2",-0.683463312,1.56e-14,-0.283560576,0.006432277
"EFCAB7",4112,"EF-hand calcium binding domain 7",-0.762479121,7.33e-07,-1.584385394,2.77e-05
"MAPK10",4125,"mitogen-activated protein kinase 10",0.943549259,1.6e-13,0.496440847,0.004588229
"MMP25",4126,"matrix metallopeptidase 25",1.589596496,1.9e-09,1.51956851,0.000356051
"MLKL",4132,"mixed lineage kinase domain like pseudokinase",2.196376619,6.25e-13,1.391501553,0.00339395
"SGPP1",4133,"sphingosine-1-phosphate phosphatase 1",0.211700636,0.007190573,0.680029129,2.41e-09
"GAPDH",4143,"glyceraldehyde-3-phosphate dehydrogenase",-1.56536836,1.9e-08,-1.51127299,0.000172541
"PLEKHG5",4145,"pleckstrin homology and RhoGEF domain containing G5",-0.973808002,3.39e-11,-0.510037599,0.001410181
"DVL1",4149,"dishevelled segment polarity protein 1",0.174878214,0.035285913,0.77826625,1.87e-10
"GLG1",4160,"golgi glycoprotein 1",-0.094199608,0.002527455,-0.303670646,1.51e-08
"INPP4A",4161,"inositol polyphosphate-4-phosphatase type I A",-0.184419112,0.027332635,-0.769685319,4.39e-10
"MFSD4B",4163,"major facilitator superfamily domain containing 4B",-0.5071892,8.84e-05,-0.969383871,1.23e-06
"FERMT2",4169,"FERM domain containing kindlin 2",0.173537202,5.88e-08,0.255493085,0.000144825
"RAB23",4182,"RAB23, member RAS oncogene family",0.397330264,1.82e-10,0.401546701,0.001160979
"TTYH2",4186,"tweety family member 2",-0.59104827,0.015867908,-0.624127024,2.3e-09
"KCNC3",4190,"potassium voltage-gated channel subfamily C member 3",-0.785244453,0.011170563,-1.259568049,3.74e-09
"SNX15",4191,"sorting nexin 15",0.562800799,1.17e-05,0.538256538,1.14e-05
"UAP1",4203,"UDP-N-acetylglucosamine pyrophosphorylase 1",1.317940926,5.49e-06,2.352102122,2.63e-05
"SLC22A4",4210,"solute carrier family 22 member 4",1.531279948,3.19e-18,1.210713626,0.048227757
"USP14",4211,"ubiquitin specific peptidase 14",0.266385458,8.71e-15,0.226830308,0.014527208
"LRRC8B",4216,"leucine rich repeat containing 8 VRAC subunit B",0.393167635,2.65e-06,0.537904171,4.55e-05
"SLC35G1",4217,"solute carrier family 35 member G1",-0.948104922,1.09e-14,-0.520169078,0.014668028
"FLVCR1",4221,"FLVCR heme transporter 1",-0.703970491,2.48e-10,-0.748346302,0.001764923
"ADD2",4224,"adducin 2",-0.34627281,0.001102903,-0.732195461,2.97e-07
"TMEM127",4237,"transmembrane protein 127",0.167551212,0.008757043,0.543799994,1.86e-08
"LTB4R",4244,"leukotriene B4 receptor",0.930286755,1.36e-15,1.588799292,0.026398466
"ATP10D",4245,"ATPase phospholipid transporting 10D (putative)",0.535202853,4.08e-10,0.411838332,0.001938551
"FRS2",4247,"fibroblast growth factor receptor substrate 2",0.357154879,7.54e-10,0.354247284,0.001678418
"GLO1",4252,"glyoxalase I",-0.256566902,2.04e-12,-0.210027135,0.008114495
"CDK5",4256,"cyclin dependent kinase 5",-1.192140025,7e-13,-0.549217176,0.009966239
"SYNJ2",4260,"synaptojanin 2",-0.214663261,0.000291026,-0.466062214,2.57e-06
"ITGAE",4272,"integrin subunit alpha E",0.767704332,2.81e-16,0.378904416,0.041980203
"MYPN",4275,"myopalladin",2.329852585,3e-12,0.489911685,0.009255704
"JTB",4277,"jumping translocation breakpoint",0.294365748,1.58e-08,0.390041231,0.000798882
"ARF4",4287,"ADP ribosylation factor 4",0.147958339,0.036590488,0.604589672,5.04e-09
"LPXN",4299,"leupaxin",1.666287154,3.84e-12,0.858972102,0.009990025
"GPM6B",4310,"glycoprotein M6B",-0.738767197,0.002695803,-1.904243928,3.66e-07
"CHUK",4314,"component of inhibitor of nuclear factor kappa B kinase complex",0.375646525,1.61e-06,0.515382883,0.000196047
"TMEM63C",4326,"transmembrane protein 63C",-1.022219256,0.017293177,-0.795076178,4.54e-08
"IL31RA",4328,"interleukin 31 receptor A",0.834240971,8.68e-16,0.47614045,0.047086587
"CHMP4A",4332,"charged multivesicular body protein 4A",0.877114341,6.77e-10,0.501629839,0.003687348
"IQCE",4340,"IQ motif containing E",-0.411499051,8.65e-07,-0.496565756,0.000301877
"CSNK1G1",4342,"casein kinase 1 gamma 1",2.365299926,2.58e-09,1.718459301,0.002647272
"SNF8",4343,"SNF8 subunit of ESCRT-II",-0.128559019,0.037756503,-0.673838624,1.51e-08
"SIRPA",4344,"signal regulatory protein alpha",0.517901842,3.16e-07,0.38802101,0.000509355
"AKAP9",4345,"A-kinase anchoring protein 9",-0.231196651,0.001023924,-1.521796043,3.15e-06
"MAP3K7",4352,"mitogen-activated protein kinase kinase kinase 7",-0.209795274,1.59e-05,-0.347588481,9.77e-05
"SERINC3",4364,"serine incorporator 3",-0.295930931,1.27e-09,-0.226215075,0.004162804
"NAA35",4375,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",0.804572349,7.09e-07,0.754982337,0.000498931
"RGP1",4376,"RGP1 homolog, RAB6A GEF complex partner 1",-0.231569738,8.28e-06,-0.307911328,0.00017865
"CDKL5",4378,"cyclin dependent kinase like 5",0.421617344,2.13e-05,0.598253533,0.000119949
"BFSP1",4379,"beaded filament structural protein 1",-0.763711789,3.9e-06,-1.172273997,0.000278506
"RAP1GAP2",4389,"RAP1 GTPase activating protein 2",1.687678723,7.12e-09,1.562534041,0.002930509
"PPIL2",4400,"peptidylprolyl isomerase like 2",-0.221783567,8.8e-06,-0.406754702,0.000226933
"FAT1",4406,"FAT atypical cadherin 1",-0.240251294,0.000144225,-0.521549266,4.61e-05
"LLGL1",4407,"LLGL scribble cell polarity complex component 1",-0.194650934,1.01e-05,-0.25083851,0.000227197
"SLC12A5",4412,"solute carrier family 12 member 5",-1.351897139,9.81e-07,-1.31566047,0.000609369
"SLC41A3",4414,"solute carrier family 41 member 3",-0.323632469,0.009862598,-1.048981252,5.76e-07
"STX17",4417,"syntaxin 17",1.0687673,3.14e-05,0.953426965,0.000138178
"HIPK3",4421,"homeodomain interacting protein kinase 3",0.360068379,5.15e-13,0.215743706,0.032785908
"ATP6AP1",4422,"ATPase H+ transporting accessory protein 1",-0.287644045,7.78e-12,-0.22256344,0.021411885
"SCARB2",4426,"scavenger receptor class B member 2",0.152519905,0.001614724,0.391299981,6.34e-06
"CPTP",4427,"ceramide-1-phosphate transfer protein",0.312305074,0.000270281,0.483138252,3.68e-05
"SEMA4D",4430,"semaphorin 4D",-0.529704935,2.67e-07,-0.597507694,0.00111907
"PKD2",4437,"polycystin 2, transient receptor potential cation channel",0.424466666,3.07e-09,0.391901766,0.005872513
"WDFY3",4442,"WD repeat and FYVE domain containing 3",0.524033835,4.4e-13,0.349920427,0.039071939
"MET",4447,"MET proto-oncogene, receptor tyrosine kinase",0.267036414,1.18e-08,0.18201844,0.004551828
"HYAL3",4452,"hyaluronidase 3",-0.942858044,0.000119294,-0.77979638,0.000101369
"ABCA2",4458,"ATP binding cassette subfamily A member 2",-2.058267176,3.57e-09,-1.861670682,0.006435142
"RXYLT1",4462,"ribitol xylosyltransferase 1",0.617216767,3.63e-05,1.037318178,0.000197135
"MAPK3",4466,"mitogen-activated protein kinase 3",-0.253590053,9.67e-05,-0.441565445,0.000120892
"PAG1",4473,"phosphoprotein membrane anchor with glycosphingolipid microdomains 1",-0.610854185,0.010454277,-0.846564184,1.57e-06
"TM2D3",4487,"TM2 domain containing 3",-0.653882662,8.62e-08,-0.724876327,0.003624794
"TRIM16",4498,"tripartite motif containing 16",-0.585342398,9.14e-10,-0.454902916,0.014178122
"PLCG2",4500,"phospholipase C gamma 2",0.601250655,0.000591142,2.229331201,5.56e-05
"DIAPH1",4502,"diaphanous related formin 1",-0.330847743,3.54e-07,-0.318461379,0.002590204
"NBEAL2",4526,"neurobeachin like 2",-0.801994029,8.54e-08,-0.78429703,0.00573438
"CHP1",4531,"calcineurin like EF-hand protein 1",-0.797438934,1.06e-06,-0.866329017,0.002246015
"PRR7",4543,"proline rich 7, synaptic",-0.379309225,0.000161037,-0.643059193,0.000243976
"MRPL42",4545,"mitochondrial ribosomal protein L42",-0.287926774,4.53e-09,-0.262147678,0.012537833
"HAUS7",4546,"HAUS augmin like complex subunit 7",-0.367528407,0.000414323,-0.824583098,0.000124629
"CRK",4551,"CRK proto-oncogene, adaptor protein",0.120784413,0.000219634,0.321437362,0.000226532
"RNF10",4554,"ring finger protein 10",0.159376658,6.18e-07,0.181392324,0.003408826
"PIGU",4555,"phosphatidylinositol glycan anchor biosynthesis class U",-0.254581337,0.000171908,-0.318410023,0.000268539
"DUSP3",4556,"dual specificity phosphatase 3",0.212833104,2.35e-07,0.260337171,0.005332088
"SYPL1",4558,"synaptophysin like 1",-0.148220987,0.005472534,-0.435847828,1.82e-05
"PPP1R9B",4559,"protein phosphatase 1 regulatory subunit 9B",-0.2175092,5.47e-10,-0.185964147,0.02564017
"GSDMD",4560,"gasdermin D",1.343097621,4.41e-07,0.696134594,0.00417426
"PILRB",4564,"paired immunoglobin like type 2 receptor beta",-0.33710993,6.75e-05,-1.003384396,0.000483308
"TMX3",4565,"thioredoxin related transmembrane protein 3",0.424414991,8.41e-08,0.286293106,0.007823787
"OR2M3",4568,"olfactory receptor family 2 subfamily M member 3",-1.113743405,0.00171742,-1.378208303,5.44e-05
"CUL1",4569,"cullin 1",0.182317184,0.000454156,0.267833304,0.000152845
"MANBA",4582,"mannosidase beta",-0.583588827,1.39e-07,-0.444157513,0.007472866
"PPIP5K1",4598,"diphosphoinositol pentakisphosphate kinase 1",-0.450338443,4.11e-07,-0.52426241,0.006129028
"DDR1",4607,"discoidin domain receptor tyrosine kinase 1",-1.381492502,0.000221201,-1.013387669,0.000377347
"OSCP1",4611,"organic solute carrier partner 1",-1.556707522,1.16e-08,-0.964813873,0.018088553
"TRAF7",4613,"TNF receptor associated factor 7",-0.295715372,0.005433422,-0.870001083,3.7e-05
"LAMTOR2",4619,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",0.387070569,0.000200321,0.479433518,0.000439957
"NMT1",4620,"N-myristoyltransferase 1",0.11863737,0.001457619,0.305443292,0.000131274
"NEDD4",4627,"NEDD4 E3 ubiquitin protein ligase",0.109929591,0.015767676,0.446226809,1.73e-05
"CBARP",4631,"CACN subunit beta associated regulatory protein",0.541050891,3.7e-05,0.620993977,0.001127361
"PTPN3",4637,"protein tyrosine phosphatase non-receptor type 3",-0.666669095,1.07e-09,-0.454490815,0.03699321
"SMPD1",4641,"sphingomyelin phosphodiesterase 1",0.248843564,0.011727895,0.853763277,2.93e-05
"HDAC6",4642,"histone deacetylase 6",-0.360745797,1.81e-05,-0.77917086,0.001986635
"ADGRG1",4645,"adhesion G protein-coupled receptor G1",-1.133296858,0.00022377,-1.642385624,0.000545244
"SYDE2",4648,"synapse defective Rho GTPase homolog 2",0.330502086,0.000345306,0.653026541,0.000405758
"CFAP410",4655,"cilia and flagella associated protein 410",-0.636684594,5.79e-10,-0.599495704,0.049140151
"RPGRIP1L",4656,"RPGRIP1 like",-0.171484261,0.019892156,-0.474365184,2.35e-05
"AKTIP",4658,"AKT interacting protein",0.914470775,1.01e-09,0.271954078,0.044772397
"MDM2",4662,"MDM2 proto-oncogene",0.339755164,0.000726978,0.498231003,0.00033392
"CASP3",4663,"caspase 3",0.234724559,0.000338421,0.663948102,0.000555563
"SEMA3D",4666,"semaphorin 3D",-0.7893676,2.52e-05,-1.313058084,0.002444948
"SLC39A3",4675,"solute carrier family 39 member 3",0.451984351,6.02e-09,0.362653859,0.034478755
"KRIT1",4679,"KRIT1 ankyrin repeat containing",-0.341364933,6.8e-06,-0.614732149,0.005140862
"LRP8",4682,"LDL receptor related protein 8",0.486115228,2.64e-06,0.502718682,0.007205299
"KNTC1",4685,"kinetochore associated 1",-0.513210174,0.005549922,-1.721913596,0.000107207
"STK10",4702,"serine/threonine kinase 10",0.802841431,0.000368587,1.658624678,0.000798882
"ENO1",4703,"enolase 1",-0.351996205,0.000873755,-0.468271698,0.000538307
"REEP2",4707,"receptor accessory protein 2",-0.433424426,0.008190789,-0.821346383,0.000108691
"BAG4",4724,"BAG cochaperone 4",0.30705329,1.82e-07,0.295222139,0.022974867
"NRAS",4725,"NRAS proto-oncogene, GTPase",0.164562363,7.26e-05,0.214841012,0.002561729
"SVIP",4728,"small VCP interacting protein",-0.682592088,4.5e-05,-0.660858549,0.003360872
"CCDC25",4731,"coiled-coil domain containing 25",0.265490677,2.35e-06,0.249394368,0.011102299
"PCDHB9",4734,"protocadherin beta 9",-0.973317415,0.003001426,-0.880628558,0.000290045
"ACVR1B",4736,"activin A receptor type 1B",0.36582411,5.47e-07,0.261384077,0.019259832
"ANKH",4738,"ANKH inorganic pyrophosphate transport regulator",-0.286828252,0.016679818,-0.510987249,9.39e-05
"FZD8",4745,"frizzled class receptor 8",0.445803379,0.015724308,0.63262416,0.000109239
"EXOC3",4746,"exocyst complex component 3",-0.150028303,3.98e-05,-0.30514649,0.004733327
"UBQLN2",4749,"ubiquilin 2",0.207479113,0.001755012,0.329564191,0.000550013
"ATP2C1",4750,"ATPase secretory pathway Ca2+ transporting 1",-0.254352995,3.49e-07,-0.147524647,0.024694795
"TMEM120A",4752,"transmembrane protein 120A",-0.378838254,0.005048461,-0.527293906,0.00026931
"SELENOK",4756,"selenoprotein K",0.273136919,0.001197665,0.378250176,0.000819155
"ZDHHC21",4758,"zinc finger DHHC-type palmitoyltransferase 21",0.345295912,0.000120624,0.70839791,0.003302906
"F12",4761,"coagulation factor XII",-0.644228687,0.004423303,-0.982684571,0.000324776
"UBE2D3",4762,"ubiquitin conjugating enzyme E2 D3",0.130037999,0.000149628,0.257240728,0.003098633
"SLC39A4",4768,"solute carrier family 39 member 4",0.63127292,0.000300256,1.443494589,0.002034499
"AP1M1",4786,"adaptor related protein complex 1 subunit mu 1",-0.282185181,8.88e-07,-0.253535868,0.025344778
"FMR1",4791,"fragile X messenger ribonucleoprotein 1",-0.518558994,1.7e-05,-0.397581878,0.010862631
"BFAR",4799,"bifunctional apoptosis regulator",0.239451793,0.001065836,0.297032409,0.001597587
"ITGA7",4808,"integrin subunit alpha 7",-1.765333773,2.89e-06,-1.707874772,0.02385613
"PLCD1",4812,"phospholipase C delta 1",-0.469140871,0.015037025,-1.540933301,0.000324776
"RGS7",4816,"regulator of G protein signaling 7",0.826891582,0.001141875,0.795297286,0.002045172
"LRFN4",4817,"leucine rich repeat and fibronectin type III domain containing 4",0.225009703,0.002102166,0.256844567,0.00121037
"CACHD1",4818,"cache domain containing 1",0.343695484,0.000127923,0.317537343,0.007146778
"BBS7",4819,"Bardet-Biedl syndrome 7",0.401839344,5.57e-07,0.257633162,0.04133254
"CYSTM1",4822,"cysteine rich transmembrane module containing 1",0.287933026,1.18e-05,0.668129574,0.017405927
"VEZT",4826,"vezatin, adherens junctions transmembrane protein",-0.170946261,0.015156256,-0.220059411,0.000372158
"TEC",4832,"tec protein tyrosine kinase",0.448365209,2.35e-05,0.462799672,0.014680546
"SYT17",4835,"synaptotagmin 17",-1.054658346,1.18e-06,-0.824928644,0.038241086
"GOLPH3",4836,"golgi phosphoprotein 3",0.083009194,0.015932013,0.257022477,0.000395096
"RER1",4839,"retention in endoplasmic reticulum sorting receptor 1",-0.191033169,0.000466158,-0.209207785,0.004041526
"RASA1",4841,"RAS p21 protein activator 1",-0.434304193,0.00178503,-0.691892277,0.001759431
"VSIR",4843,"V-set immunoregulatory receptor",-0.308905331,0.00239447,-1.18610433,0.001485502
"NLRX1",4847,"NLR family member X1",-0.205010282,0.002380527,-0.649189971,0.001656027
"SYT7",4852,"synaptotagmin 7",-0.678783096,0.041181616,-0.397792877,0.000236053
"ADAM9",4853,"ADAM metallopeptidase domain 9",0.144434873,5.29e-05,0.223223401,0.013856625
"GSK3B",4861,"glycogen synthase kinase 3 beta",0.561782979,1.73e-06,0.359761325,0.045092052
"KLHDC8B",4868,"kelch domain containing 8B",-0.543736307,0.000412467,-0.675440138,0.006900339
"PRKAR1B",4878,"protein kinase cAMP-dependent type I regulatory subunit beta",0.176681068,0.008717224,0.737781859,0.001100608
"TULP3",4880,"TUB like protein 3",-0.28441486,4.91e-05,-0.192372375,0.018711405
"PARK7",4882,"Parkinsonism associated deglycase",-0.235967318,1.49e-05,-0.225071652,0.027558326
"NDUFC2",4886,"NADH:ubiquinone oxidoreductase subunit C2",-0.366960309,3.37e-06,-0.209153058,0.046910779
"SPRY1",4894,"sprouty RTK signaling antagonist 1",-0.787595525,1.88e-05,-0.326312377,0.031753173
"BBIP1",4897,"BBSome interacting protein 1",0.185992782,0.016216194,0.332662909,0.00097923
"MTUS1",4921,"microtubule associated scaffold protein 1",-0.690708526,0.000132373,-1.228179145,0.022441965
"F3",4924,"coagulation factor III, tissue factor",1.037037623,0.017344492,1.405027024,0.001510208
"INSR",4931,"insulin receptor",-0.829768191,0.002449319,-0.870732034,0.005618388
"RHBDL2",4933,"rhomboid like 2",0.861303199,0.000202958,1.299127166,0.020923494
"OCRL",4936,"OCRL inositol polyphosphate-5-phosphatase",0.216932672,5.49e-05,0.182475639,0.034478755
"TBXA2R",4944,"thromboxane A2 receptor",-0.763886877,0.005589346,-1.06436541,0.004390864
"OCEL1",4945,"occludin/ELL domain containing 1",-0.330721609,0.017745312,-0.532844874,0.002219158
"SLC39A9",4954,"solute carrier family 39 member 9",0.442652143,0.000388319,1.172483792,0.020459593
"CDHR3",4971,"cadherin related family member 3",-0.782093195,0.025012696,-1.312431076,0.003143032
"MGST1",4975,"microsomal glutathione S-transferase 1",-0.216021746,0.001210338,-0.470065703,0.020282676
"TF",4980,"transferrin",0.228765716,0.03346386,0.883369851,0.002810264
"RGMB",4982,"repulsive guidance molecule BMP co-receptor b",0.449312834,0.001144251,0.291921094,0.022341921
"DIAPH3",4986,"diaphanous related formin 3",0.160294431,0.001481025,0.257371232,0.019337614
"C11orf24",4987,"chromosome 11 open reading frame 24",-0.44498134,0.001354187,-0.654243858,0.020574368
